,ci_test_results,z_test_results,z_test_p_values,t_test_p_values,mean_diff
LCAT,True,True,6.7763361689901685e-06,7.573915333082171e-06,3.367138064109998
TRAPPC13,False,False,0.5672401018599722,0.5673689459068725,1.0099685878000013
OR1A1,False,False,0.7214449713557982,0.7215203326547224,0.24852455036313525
AC011476.21,False,False,0.43147791779257383,0.43166467342080983,0.8600797181515998
ZNF414,True,True,8.756050431501589e-05,9.35530086279424e-05,3.0410564565200033
HADHA,False,False,0.31516257784002266,0.3154060483841877,2.257419028000001
MERTK,False,False,0.9500525604453799,0.9500651034260663,0.13120660025199982
PPP2R5A,True,True,1.635088994923836e-27,4.4206200118349376e-26,16.321994931
ANAPC10,True,True,0.020377659548164336,0.02057877956731104,2.7263621064
PRDM16,False,False,0.8053740183009199,0.8054246875068258,0.26801648928857946
SLC22A17,False,False,0.45496264143842324,0.4551386346074042,1.1071421615682793
ATP12A,False,False,0.11837108536889182,0.1186881119204835,1.8712495889375664
C6orf222,False,False,0.27910283437573,0.27936427358805477,0.6465584370598254
C20orf202,False,False,0.8857611890971132,0.8857901926205564,0.20125331285850367
ADAMTSL2,False,False,0.6296681643121942,0.6297738963670565,0.37711141204312026
PTGER1,False,False,0.10078251094836657,0.10109759375337014,3.935018959175401
CHCHD6,False,False,0.22562099746367215,0.22590780848150607,1.1350577442999974
GNG2,True,True,2.013683618524407e-55,1.0405537095434277e-49,121.56378540919997
FKSG63,False,False,0.07929458960453754,0.07960142953664325,1.4888207212100006
C10orf35,False,False,0.6767428019982178,0.676832459644133,0.45958165787199956
IFNL4,False,False,0.45699856323863497,0.45717363736994465,1.23316593649266
SMARCC2,True,True,0.0006041099347413493,0.0006288309509104819,5.865113429000004
ADRB3,False,False,0.3377658088081519,0.3379979712818898,0.43521277522622004
THOC2,False,False,0.8215437055261414,0.8215898860765345,0.2533560099999974
CHD1L,False,False,0.0732506995396887,0.07355362719434864,4.119725463199991
FAM221B,False,False,0.05953798348468495,0.05982844590143612,2.4623494450454007
USP6,False,False,0.77816662046023,0.7782250222265934,0.12522962868300014
LY6H,False,False,0.2269134951909204,0.22719972857207685,1.7346413339445763
CHSY3,False,False,0.9215537955035068,0.921573570371404,0.08113659294540043
C11orf95,True,True,0.007747937102196703,0.007872633469994334,3.634574213999999
GOLGA3,False,False,0.06876490607570933,0.0690643540889559,2.102656324200005
GOLPH3,False,False,0.26759737967213304,0.2678644648608286,1.795946470000004
RND3,False,False,0.5907687739168717,0.5908886555220201,2.8364450420099985
RGS18,False,False,0.2788945937034967,0.27915613566122144,1.5591473349415583
GZMK,True,True,1.3230049801644073e-19,6.812394498520736e-19,31.139888860459006
SNF8,False,False,0.4249470391279945,0.4251368388310065,1.191473192999993
PRSS38,False,False,0.6191209784498601,0.6192304668004109,0.16913184859534602
HOMEZ,False,False,0.5018917541921895,0.5020471554486476,0.8059943403999998
PROCA1,True,True,0.02383485043963745,0.024049775682905315,0.9065919136559994
PCDHGA6,False,False,0.25616948421491903,0.2564420999678136,1.2340954395099997
SP7,False,False,0.0837452997611279,0.08405451579458688,2.031232260436302
HNRNPU,False,False,0.3108853721542223,0.311130984321475,3.9100235380000186
EPHA1,False,False,0.13851542804866973,0.13883107208228845,1.3490632469438002
LRRC40,False,False,0.47422230709456614,0.47438969828275157,1.6002860087999977
GKN2,False,False,0.5007025220804417,0.5008584295941612,0.45164020802721916
CDC16,False,False,0.31901156116128515,0.3192531041831178,2.4521680179999947
STOML1,False,False,0.7791945535158378,0.7792526587586786,0.2808620443999992
MZB1,True,True,8.927237761149138e-15,2.1949354868770278e-14,106.979562949608
VN1R1,False,False,0.17906074678196582,0.1793661561887566,1.1645587744553996
HOXB2,True,True,2.2636836612356136e-06,2.5889673110471156e-06,7.828291382789196
FCAR,True,True,0.009610758151164847,0.009750704832412168,7.898151122312003
COPZ1,False,False,0.2678647431504745,0.2681316979315624,3.497540544000003
C6orf62,False,False,0.42573582825607126,0.4259252591572982,6.807284713999991
SH3BGRL3,True,True,3.605054917583755e-27,8.968637071281605e-26,188.80400165200007
FOXD4,False,False,0.1469940524942121,0.14730824646863894,1.9154215658640004
PVALB,False,False,0.36939420353168684,0.3696106877233005,1.5819446919785136
ANAPC4,True,True,0.00044870604090745635,0.00046874065673793155,2.725282578599998
PRAC2,True,True,0.03980703372478939,0.04006673801661726,2.631544080506118
RUVBL1,False,False,0.08507722838956418,0.08538707960588929,3.1276078552000044
TMEM42,False,False,0.9373446980556408,0.9373604557695032,0.09890131791599899
SLC16A9,False,False,0.3087871247214953,0.30903378715597446,1.8864166340974804
TMEM211,False,False,0.47870869010351524,0.47887410744646974,1.4372922288382943
TUBB3,False,False,0.12517097778626768,0.12548790583859137,6.276779872496
C1QTNF1,False,False,0.3714574069092268,0.37167287805105287,0.8438927233209998
ZNF846,True,True,0.0050493427356622725,0.005147265731303305,1.78695142822
CWC22,False,False,0.9812254287599589,0.9812301329545323,0.018507355000000558
SEL1L,False,False,0.7207986479077634,0.7208742097090646,0.5836387270000003
LCK,True,True,1.0593563253354867e-44,6.212887562098255e-41,95.99788081226001
GDPD4,False,False,0.8074710421876882,0.8075211249788006,0.14298350681324268
OR11H6,False,False,0.5499406297288971,0.5500762638098433,0.04479343371540062
SPAG6,False,False,0.29677848974650833,0.297031153774205,1.4616579381578196
KIR3DS1,True,True,7.923089994052483e-14,1.7279029663559935e-13,21.353107187417407
